"﻿id","Дата и время","ИНН","IDПользователя","Товар","Бренд","Теги","Цена","Кол-во","Сумма","Кэшбэк"
"0000a622f9c8f1821ca549fbcfd47405","21.12.2019 15:15","2310031475","2700449a73d4cb9d8e909c706bf16fbe","libresse natural care ultra прокладки normal 10ш","libresse","личная гигиена; красота и здоровье; прокладки",63.2,2.0,126.4,
"0000a622f9c8f1821ca549fbcfd47405","21.12.2019 15:15","2310031475","2700449a73d4cb9d8e909c706bf16fbe","pampers трусики-подг 5 junior 12-17/15-18кг 96шт","pampers",,1549.0,1.0,1549.0,154.9
"0000a622f9c8f1821ca549fbcfd47405","21.12.2019 15:15","2310031475","2700449a73d4cb9d8e909c706bf16fbe","salton губка/гл кож с дозатор(чер)(шанхай продак",,,135.2,1.0,135.2,
"0000a622f9c8f1821ca549fbcfd47405","21.12.2019 15:15","2310031475","2700449a73d4cb9d8e909c706bf16fbe","soft ватные палочки 200шт пластиковый стакан(кот",,,31.2,1.0,31.2,
"0000a622f9c8f1821ca549fbcfd47405","21.12.2019 15:15","2310031475","2700449a73d4cb9d8e909c706bf16fbe","моя цена/степной тюльпан туал/бум без вт(бумагар",,,4.9,1.0,4.9,
"0000a622f9c8f1821ca549fbcfd47405","21.12.2019 15:15","2310031475","2700449a73d4cb9d8e909c706bf16fbe","пакет магнит косметик мал(пластиктрейд):300/2700","магнит косметик","упаковка; пакеты; прочее",3.12,1.0,3.12,
"0000a622f9c8f1821ca549fbcfd47405","21.12.2019 15:15","2310031475","2700449a73d4cb9d8e909c706bf16fbe","светодиод лампа старт груша 15вт e27 тёпл/хол св",,,119.2,2.0,238.4,
"0000ff080b0a96172c95b3aa6f34980d","14.12.2019 18:33","2310031475","417fef3a42028cb612da47fff7b829f3","discreet deo ежедн прокладки water","discreet","прокладки; личная гигиена; красота и здоровье",109.9,1.0,109.9,12.99
"0000ff080b0a96172c95b3aa6f34980d","14.12.2019 18:33","2310031475","417fef3a42028cb612da47fff7b829f3","hochland сыр плавл чизбургер тост","hochland","молоко/сыр/яйца; сыр; продукты; плавленный",59.9,1.0,59.9,
"0000ff080b0a96172c95b3aa6f34980d","14.12.2019 18:33","2310031475","417fef3a42028cb612da47fff7b829f3","здоровый стиль мюсли тропические 2",,,41.9,1.0,41.9,
"0000ff080b0a96172c95b3aa6f34980d","14.12.2019 18:33","2310031475","417fef3a42028cb612da47fff7b829f3","кубай питьевая вода негаз 5л(мерку","кубай","вода минеральная; напитки; продукты",56.9,1.0,56.9,
"0000ff080b0a96172c95b3aa6f34980d","14.12.2019 18:33","2310031475","417fef3a42028cb612da47fff7b829f3","пакет-майка магнит",,,4.9,1.0,4.9,
"0000ff080b0a96172c95b3aa6f34980d","14.12.2019 18:33","2310031475","417fef3a42028cb612da47fff7b829f3","пленка пищевая 30м саяна в короб.(",,,27.9,2.0,55.8,
"0000ff080b0a96172c95b3aa6f34980d","14.12.2019 18:33","2310031475","417fef3a42028cb612da47fff7b829f3","с пылу с жару блинчики с творогом",,"блины; полуфабрикаты и готовые блюда; продукты",39.9,2.0,79.8,
"00011b384dff1067131b3ecaea35382f","07.12.2019 14:09","2310031475","c8142fe20d51c0875ab409128c0a6477","hoegaarden пив/нап н/ф паст 4,9%0,45л ж/б с кл(сан инбев):",,,48.67,2.0,97.34,
"00011b384dff1067131b3ecaea35382f","07.12.2019 14:09","2310031475","c8142fe20d51c0875ab409128c0a6477","krusovice imperial пиво светлое паст 0,5л ж/б(чехия):6","krusovice","алкоголь; пиво; пастеризованное; пиво светлое",74.92,1.0,74.92,
"00011b384dff1067131b3ecaea35382f","07.12.2019 14:09","2310031475","c8142fe20d51c0875ab409128c0a6477","lays из печи чипсы карт лисички в сметане 85г фл/п(фрито):","lays","чипсы; снеки; продукты",59.9,1.0,59.9,
"00011b384dff1067131b3ecaea35382f","07.12.2019 14:09","2310031475","c8142fe20d51c0875ab409128c0a6477","pampers трусики-подг 6 extra large (16+кг) 88шт(проктер):1","pampers","трусики-подгузники; forp&g; уход за ребенком; подгузники/пеленки/салфетки",1679.0,1.0,1679.0,167.9
"00011b384dff1067131b3ecaea35382f","07.12.2019 14:09","2310031475","c8142fe20d51c0875ab409128c0a6477","белая птица печень 0,8кг лоток(ново-ездоцкая):5",,"субпродукты; печень; мясо/рыба; продукты",97.42,1.0,97.42,
"00011b384dff1067131b3ecaea35382f","07.12.2019 14:09","2310031475","c8142fe20d51c0875ab409128c0a6477","простоквашино сметана 15% 315г пл/ст (юнимилк):12","простоквашино","продукты; сметана; молоко/сыр/яйца",49.9,1.0,49.9,
"00011b384dff1067131b3ecaea35382f","07.12.2019 14:09","2310031475","c8142fe20d51c0875ab409128c0a6477","тема биотворог дет ябл перс банан 4,2%100г пл/ст(юнимилк):",,,22.42,2.0,44.84,
"00011b384dff1067131b3ecaea35382f","07.12.2019 14:09","2310031475","c8142fe20d51c0875ab409128c0a6477","тема биотворог дет ябл перс банан 4,2%100г пл/ст(юнимилк):",,,22.43,2.0,44.86,
"00011b384dff1067131b3ecaea35382f","07.12.2019 14:09","2310031475","c8142fe20d51c0875ab409128c0a6477","томаты 600г",,,82.9,1.0,82.9,
"00011b384dff1067131b3ecaea35382f","07.12.2019 14:09","2310031475","c8142fe20d51c0875ab409128c0a6477","фрутоняня вода детская артез негаз 0,33л(прогресс):12","фрутоняня","напитки детские; вода детская; детское питание",20.9,1.0,20.9,
"0001253a218fbfbdcf7b2f119bc9719f","27.01.2020 15:36","2310031475","0ffc499d4246bec9b222260db8312abc","always ultra прокладки normal/light 10шт(проктер","always","single; красота и здоровье; прокладки; личная гигиена",69.0,1.0,69.0,6.9
"0001253a218fbfbdcf7b2f119bc9719f","27.01.2020 15:36","2310031475","0ffc499d4246bec9b222260db8312abc","tampax compak тампоны regular 16шт (проктер) :6","tampax","16; compak; личная гигиена; красота и здоровье; тампоны",155.0,1.0,155.0,
"0001253a218fbfbdcf7b2f119bc9719f","27.01.2020 15:36","2310031475","0ffc499d4246bec9b222260db8312abc","колгейт зубная паста безопасное отбелив 75мл(col","colgate","уход за полостью рта; зубная паста; красота и здоровье",90.9,1.0,90.9,
"000138502d273274fc30a8d28db41680","21.12.2019 12:51","7825706086","3ea38f64bac275ad45c4ec07025f9086","23937 o.b.тамп.procomf.sup.16шт","o.b.","тампоны; личная гигиена; красота и здоровье",129.99,1.0,129.99,
"000138502d273274fc30a8d28db41680","21.12.2019 12:51","7825706086","3ea38f64bac275ad45c4ec07025f9086","3406187 наша кор.мол.2,5% пэт 900мл",,,47.99,1.0,47.99,
"000138502d273274fc30a8d28db41680","21.12.2019 12:51","7825706086","3ea38f64bac275ad45c4ec07025f9086","3483437 gr.des.пуд.шок.мол.5,2% 200г",,,34.99,1.0,34.99,
"000138502d273274fc30a8d28db41680","21.12.2019 12:51","7825706086","3ea38f64bac275ad45c4ec07025f9086","3666192 дан.пр.тв.гр.ор-кл.с.5,9%130г",,,34.99,1.0,34.99,
"000138502d273274fc30a8d28db41680","21.12.2019 12:51","7825706086","3ea38f64bac275ad45c4ec07025f9086","39124 alw.проклад.ultr.night duo 14шт","always","ultra; пятерочка; личная гигиена; 14; прокладки; duonight; красота и здоровье",179.99,1.0,179.99,158.0
"0001f1ea837b556581311dcde5249ac6","26.01.2020 17:15","2310031475","ace3f35491777a8276c458ed6c455703","lenor конд д/бел микс масло ши/морс","lenor","forp&g; уход за бельем; хозяйственные товары; кондиционер для белья",129.0,1.0,129.0,13.9
"0001f1ea837b556581311dcde5249ac6","26.01.2020 17:15","2310031475","ace3f35491777a8276c458ed6c455703","maybelline precise лайнер мат черн т",,,449.0,1.0,449.0,
"0001f1ea837b556581311dcde5249ac6","26.01.2020 17:15","2310031475","ace3f35491777a8276c458ed6c455703","мое солнышко шампунь ромашка(с рожде",,,75.0,1.0,75.0,
"0001f1ea837b556581311dcde5249ac6","26.01.2020 17:15","2310031475","ace3f35491777a8276c458ed6c455703","рец.б.агафьи шамп густой д/тонк/осл",,"красота и здоровье; гигиена волос; шампунь для волос",99.0,1.0,99.0,
"00020838dfa0541820fba3b70a13d036","06.01.2020 13:19","2310031475","8c7d94b3ba3f9908f6a09085b88710b8","head&shoulders шампунь 2в1 основной","head&shoulders","красота и здоровье; гигиена волос; шампунь для волос",179.0,1.0,179.0,17.9
"00020838dfa0541820fba3b70a13d036","06.01.2020 13:19","2310031475","8c7d94b3ba3f9908f6a09085b88710b8","skinlite маска с морс водорослями д/",,,65.0,1.0,65.0,
"00020838dfa0541820fba3b70a13d036","06.01.2020 13:19","2310031475","8c7d94b3ba3f9908f6a09085b88710b8","скинлайт маска зеленый чай подтяг1пр",,,65.0,1.0,65.0,
"00020838dfa0541820fba3b70a13d036","06.01.2020 13:19","2310031475","8c7d94b3ba3f9908f6a09085b88710b8","скинлайт маска-лиф коэнз q-10д/люб к",,,65.0,1.0,65.0,
"0002a0a423b4372c80602897e53f6d7f","26.12.2019 15:59","2310031475","262c17f802a5d4a70d4f7fd6077e9529","old spice дезодорант witewater спрей 150мл(прокт","old spice","красота и здоровье; дезодорант/антиперсперант; личная гигиена",169.0,1.0,169.0,17.9
"0002a0a423b4372c80602897e53f6d7f","26.12.2019 15:59","2310031475","262c17f802a5d4a70d4f7fd6077e9529","taft лак мини оч.сил/фикс объем 75мл(хенкель):20",,,159.0,1.0,159.0,
"0002a37e0af2f9b8e081119e3e50209d","14.01.2020 20:08","2310031475","22903834207878a922d05c5b7fde4077","tide color средство для стирки жидко","tide","гель; хозяйственные товары; уход за бельем; гель для стирки",219.9,1.0,219.9,21.99
"0002a37e0af2f9b8e081119e3e50209d","14.01.2020 20:08","2310031475","22903834207878a922d05c5b7fde4077","бананы 1кг",,"продукты; банан; фрукты; овощи/фрукты/ягоды",69.9,0.986,68.92,
"0002a37e0af2f9b8e081119e3e50209d","14.01.2020 20:08","2310031475","22903834207878a922d05c5b7fde4077","лимоны 1кг",,,99.0,0.268,26.53,
"0002a37e0af2f9b8e081119e3e50209d","14.01.2020 20:08","2310031475","22903834207878a922d05c5b7fde4077","националь крупа рис кругл.краснодарс",,"крупа и бобовые; бакалея; рисовая; продукты",93.9,1.0,93.9,
"00031a5597b8bf6fd2572478c9fb137e","26.12.2019 13:12","2310031475","fc9433f280801071afa5bbffb9fa500c","color naturals краска д/в № 8.1 песч берег (гарн","garnier","красота и здоровье; окрашивание волос; краска для волос",149.0,1.0,149.0,
"00031a5597b8bf6fd2572478c9fb137e","26.12.2019 13:12","2310031475","fc9433f280801071afa5bbffb9fa500c","gillette series гель д/бритья д/чувст кожи (прок","gillette","красота и здоровье; средство для бритья; гель для бритья; личная гигиена",199.0,1.0,199.0,19.9
"00031a5597b8bf6fd2572478c9fb137e","26.12.2019 13:12","2310031475","fc9433f280801071afa5bbffb9fa500c","rexona men антипер аэрозоль антибакт свеж 150мл(","rexona","дезодорант/антиперсперант; личная гигиена; красота и здоровье",155.35,1.0,155.35,
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","always platinum ultra прокладки ночн","always","quatronight; личная гигиена; platinum; прокладки; красота и здоровье; quatronight; личная гигиена; platinum; прокладки; красота и здоровье",149.0,1.0,149.0,14.9
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","aura ватные палочки classic эконом 4","aura","; ",55.0,2.0,110.0,
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","discreet ежедн прокладки air 100шт(п","discreet","красота и здоровье; личная гигиена; прокладки; красота и здоровье; личная гигиена; прокладки",239.0,1.0,239.0,24.9
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","kinder сюрприз шок.яйцо(ферреро) :36","kinder","шоколад; хлеб и сладости; продукты; surprise; кондитерские изделия; шоколад; хлеб и сладости; продукты; surprise; кондитерские изделия",69.9,1.0,69.9,
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","lenor концентрир кондиц д/белья золо","lenor","кондиционер для белья; уход за бельем; хозяйственные товары; кондиционер для белья; уход за бельем; хозяйственные товары",169.0,1.0,169.0,17.9
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","raid антимоль подвеска весен цвет 4ш",,"; ",71.2,1.0,71.2,
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","контейнер 0,8л д/пищ. прод.(спецторг",,"; ",76.3,1.0,76.3,
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","мастер блеск салфетка из микрофибры(",,"салфетки; бумага/салфетки; хозяйственные товары; салфетки; бумага/салфетки; хозяйственные товары",28.0,1.0,28.0,
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","мочалка массажная цветная с ручками(",,"; ",84.96,1.0,84.96,
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","пакет магнит косметик мал(пластиктре","магнит косметик","пакеты; прочее; упаковка; пакеты; прочее; упаковка",3.12,1.0,3.12,
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","раптор ловушка для тараканов(литьева",,"; ",199.2,1.0,199.2,
"00036ba1eec6bddcbaf0fa19d36eac4c","25.01.2020 9:49","2310031475","594d76aa83fd5501fdf12006d3356d29","салфетка вискоз.тонкая 10шт.34*38см,",,"салфетки; бумага/салфетки; хозяйственные товары; салфетки; бумага/салфетки; хозяйственные товары",50.16,1.0,50.16,
"0003b53529b67de3d4f70dcf462b6f0a","10.01.2020 14:57","2310031475","d5d87b13c80f3b470bd4613ea8936b7f","old spice дезодорант муж стик captain 50мл(gille","old spice","красота и здоровье; личная гигиена; дезодорант/антиперсперант",169.0,1.0,169.0,16.9
"0003bde17b3ae4196f483351bac69916","28.11.2019 15:40","2310031475","ad1469b0bb503a6561c61acadc30578c","mirrolla репейное масло с красным перцем 100мл:5",,,69.0,1.0,69.0,
"0003bde17b3ae4196f483351bac69916","28.11.2019 15:40","2310031475","ad1469b0bb503a6561c61acadc30578c","pantene pro-v бальз aqua light/ густ и креп360мл","pantene","красота и здоровье; гигиена волос; бальзам для волос",299.0,1.0,299.0,29.9
"0003bde17b3ae4196f483351bac69916","28.11.2019 15:40","2310031475","ad1469b0bb503a6561c61acadc30578c","tide ср-во для стирки жидк альп свежесть 0,975л(","tide","уход за бельем; гель; гель для стирки; хозяйственные товары",169.0,1.0,169.0,16.9
"0003bde17b3ae4196f483351bac69916","28.11.2019 15:40","2310031475","ad1469b0bb503a6561c61acadc30578c","zewa plus т/бум зеленая с аром яблока 2сл 4рул:2","zewa",,63.1,1.0,63.1,
"0003bde17b3ae4196f483351bac69916","28.11.2019 15:40","2310031475","ad1469b0bb503a6561c61acadc30578c","азбука мягкая (си):4/240",,,129.0,1.0,129.0,
"0003bde17b3ae4196f483351bac69916","28.11.2019 15:40","2310031475","ad1469b0bb503a6561c61acadc30578c","книга серия книжки на картоне цк мини 110х150 (п",,"прочее; книга",27.9,2.0,55.8,
"0003bde17b3ae4196f483351bac69916","28.11.2019 15:40","2310031475","ad1469b0bb503a6561c61acadc30578c","новый жемчуг зуб/п малина детск 1-6л 50мл(невск",,,32.1,1.0,32.1,
"0003bde17b3ae4196f483351bac69916","28.11.2019 15:40","2310031475","ad1469b0bb503a6561c61acadc30578c","пакет магнит косметик мал(пластиктрейд):300/2700","магнит косметик","упаковка; пакеты; прочее",3.9,1.0,3.9,
"0003bde17b3ae4196f483351bac69916","28.11.2019 15:40","2310031475","ad1469b0bb503a6561c61acadc30578c","пластилин 12 цв восковый карт/уп кроха (луч):5/2",,,119.0,1.0,119.0,
"0005fc462059c1d7ed87833925d2e0d0","06.11.2019 16:48","2310031475","f3aa3a93d7f2f768e0dad3d5efa65285","fairy средство для мытья посуды де","fairy","детский; хозяйственные товары; средства для мытья посуды; средства для мытья кухни",79.0,1.0,79.0,58.9
"0005fc462059c1d7ed87833925d2e0d0","06.11.2019 16:48","2310031475","f3aa3a93d7f2f768e0dad3d5efa65285","mr.proper моющ жидк д/полов и стен","mr. proper","нейтрал; хозяйственные товары; средства для полов/ковров/мебели; жидкость; средство для мытья полов",135.2,1.0,135.2,64.52
"0006a0183cc464cc4c452702e5f36edf","04.01.2020 8:33","2310031475","4b5a9dde2daa3eb4cf01078a3b163096","7days круассан-миди какао 65г(чипита):20","7 days",,19.9,1.0,19.9,
"0006a0183cc464cc4c452702e5f36edf","04.01.2020 8:33","2310031475","4b5a9dde2daa3eb4cf01078a3b163096","ariel стир/пор горный родник автомат2,5кг п/п(пр","ariel","стиральный порошок; хозяйственные товары; уход за бельем",199.0,1.0,199.0,
"0006a0183cc464cc4c452702e5f36edf","04.01.2020 8:33","2310031475","4b5a9dde2daa3eb4cf01078a3b163096","lenor конц конд д/белья цветен шелк акации910мл(","lenor","уход за бельем; хозяйственные товары; кондиционер для белья; forp&g",99.9,1.0,99.9,9.99
"0006a0183cc464cc4c452702e5f36edf","04.01.2020 8:33","2310031475","4b5a9dde2daa3eb4cf01078a3b163096","моя цена батон нарезной в/с 0,35кг(энгельский хк",,,15.7,1.0,15.7,
"0006a0183cc464cc4c452702e5f36edf","04.01.2020 8:33","2310031475","4b5a9dde2daa3eb4cf01078a3b163096","сахар белый кристаллический фас 1кг",,"бакалея; сахар; продукты",25.6,1.0,25.6,
"0006cc36b900cfbe78ba45de447717ac","31.01.2020 11:26","2310031475","5a5a7352cd70ae5bb729b25641facddb","hochland сыр творож сливочный 60% 140г(хохланд):","hochland","продукты; творожный; сыр; молоко/сыр/яйца",59.9,1.0,59.9,
"0006cc36b900cfbe78ba45de447717ac","31.01.2020 11:26","2310031475","5a5a7352cd70ae5bb729b25641facddb","milka шоколад с фундуком и изюмом 90г п/у(мон де","milka","хлеб и сладости; кондитерские изделия; продукты; шоколад",53.2,1.0,53.2,
"0006cc36b900cfbe78ba45de447717ac","31.01.2020 11:26","2310031475","5a5a7352cd70ae5bb729b25641facddb","mr.proper моющее ср-во лимон 500мл(проктер):20","mr. proper","хозяйственные товары; средство для мытья полов; средства для полов/ковров/мебели; жидкость",84.9,1.0,84.9,8.49
"0006cc36b900cfbe78ba45de447717ac","31.01.2020 11:26","2310031475","5a5a7352cd70ae5bb729b25641facddb","аленка шоколад молоч. 100г(красный октябрь):14/8",,"хлеб и сладости; кондитерские изделия; продукты; шоколад",75.05,1.0,75.05,
"0006cc36b900cfbe78ba45de447717ac","31.01.2020 11:26","2310031475","5a5a7352cd70ae5bb729b25641facddb","белизна жидкость 1л пл/у(сибирский мыловар):12",,,19.85,1.0,19.85,
"0006cc36b900cfbe78ba45de447717ac","31.01.2020 11:26","2310031475","5a5a7352cd70ae5bb729b25641facddb","водка мягков серебряная 40% 0,5л(россия):12","мягков","алкоголь; водка",269.0,1.0,269.0,
"0006cc36b900cfbe78ba45de447717ac","31.01.2020 11:26","2310031475","5a5a7352cd70ae5bb729b25641facddb","охота пиво крепкое светлое фильт паст 8,1% 0,45л","охота","алкоголь; пиво светлое; пиво",47.4,1.0,47.4,
"0006dbffe89cd36183097c7c15f442c7","20.11.2019 12:31","2310031475","5d4ef32b9ff38b43f1643ff39652ff72","always ultra прокладки ночные 7шт (проктер):20","always","личная гигиена; singlenight; 7; экстра защ; красота и здоровье; прокладки; ultra",69.9,1.0,69.9,66.99000000000001
"0006dbffe89cd36183097c7c15f442c7","20.11.2019 12:31","2310031475","5d4ef32b9ff38b43f1643ff39652ff72","kotex ultra прокладки normal сетч 10шт (кимберли","kotex","красота и здоровье; прокладки; личная гигиена",103.8,1.0,103.8,
"0006dbffe89cd36183097c7c15f442c7","20.11.2019 12:31","2310031475","5d4ef32b9ff38b43f1643ff39652ff72","апельсины 1кг",,"продукты; овощи/фрукты/ягоды; апельсин; фрукты",76.9,0.335,25.76,
"0006dbffe89cd36183097c7c15f442c7","20.11.2019 12:31","2310031475","5d4ef32b9ff38b43f1643ff39652ff72","джек конфеты шок/ваф со вкусом какао(в)(конти):3",,,199.0,0.106,21.09,
"0006dbffe89cd36183097c7c15f442c7","20.11.2019 12:31","2310031475","5d4ef32b9ff38b43f1643ff39652ff72","томаты 1кг",,"овощи/фрукты/ягоды; томаты; продукты; овощи",79.9,0.555,44.34,
"0006dbffe89cd36183097c7c15f442c7","20.11.2019 12:31","2310031475","5d4ef32b9ff38b43f1643ff39652ff72","чиабатта 200г не упак(вологодский хк)",,,29.9,1.0,29.9,
"0006dbffe89cd36183097c7c15f442c7","20.11.2019 12:31","2310031475","5d4ef32b9ff38b43f1643ff39652ff72","яблоки новый урожай 1кг",,,56.9,0.4,22.76,
"000805f6bd08200f49702972b6a82c5e","18.01.2020 0:19","9701048328","953ae7d74428babce7dbf84b8f3720b4","бальзам для волос pantene pro-v 3 minute miracle густые и крепкие 200 мл","pantene","красота и здоровье; гигиена волос; бальзам для волос",173.0,1.0,173.0,17.3
"000805f6bd08200f49702972b6a82c5e","18.01.2020 0:19","9701048328","953ae7d74428babce7dbf84b8f3720b4","ватные диски я самая двусторонние 120 шт",,,34.0,1.0,34.0,
"000805f6bd08200f49702972b6a82c5e","18.01.2020 0:19","9701048328","953ae7d74428babce7dbf84b8f3720b4","гель для душа ушастый нянь детский 250 мл",,,63.0,1.0,63.0,
"000805f6bd08200f49702972b6a82c5e","18.01.2020 0:19","9701048328","953ae7d74428babce7dbf84b8f3720b4","подгузники-трусики pampers pants 3 (6-11 кг), 120 шт.","pampers","трусики-подгузники; подгузники/пеленки/салфетки; forp&g; уход за ребенком",1074.0,1.0,1074.0,133.95
"000805f6bd08200f49702972b6a82c5e","18.01.2020 0:19","9701048328","953ae7d74428babce7dbf84b8f3720b4","трусики pampers pants 12-17 кг, размер 5, 152 шт.","pampers","трусики-подгузники; forp&g; уход за ребенком; подгузники/пеленки/салфетки",1605.0,1.0,1605.0,133.95
"000805f6bd08200f49702972b6a82c5e","18.01.2020 0:19","9701048328","953ae7d74428babce7dbf84b8f3720b4","услуга доставки",,,1.0,1.0,1.0,
"000829616658735a28e525a7e0a82716","23.11.2019 11:54","2310031475","db490c5a3259b63c80efcd99c8a8b80e","always platinum ultra прокладки ночные 6шт(проктер):20","always","личная гигиена; красота и здоровье; singlenight; platinum; прокладки",69.9,1.0,69.9,6.99
"000829616658735a28e525a7e0a82716","23.11.2019 11:54","2310031475","db490c5a3259b63c80efcd99c8a8b80e","blend-a-med anti-karies з/п здор белизна 100мл (проктер):2","blend-a-med","красота и здоровье; зубная паста; уход за полостью рта",59.9,1.0,59.9,5.99
"000829616658735a28e525a7e0a82716","23.11.2019 11:54","2310031475","db490c5a3259b63c80efcd99c8a8b80e","safeguard мыло туалетное деликатное 5*70г(p&g):16","safeguard","мыло; твердое мыло; красота и здоровье; личная гигиена",109.0,1.0,109.0,10.9
"0008475f33aced4e23f8ec3e90c3b019","09.01.2020 11:02","6674121179","a4348dd730c6d84ab3a2950558962ede","гранат вес.",,"овощи/фрукты/ягоды; продукты; гранат; фрукты",109.9,0.305,33.52,
"0008475f33aced4e23f8ec3e90c3b019","09.01.2020 11:02","6674121179","a4348dd730c6d84ab3a2950558962ede","мандарин марокко",,"фрукты; продукты; мандарины; овощи/фрукты/ягоды",119.9,0.385,46.16,
"0008475f33aced4e23f8ec3e90c3b019","09.01.2020 11:02","6674121179","a4348dd730c6d84ab3a2950558962ede","молоко питьевое пастеризованное дарим лето 3,2% пленка 900г аургазымолпродукт бзмж",,,32.9,1.0,32.9,
"0008475f33aced4e23f8ec3e90c3b019","09.01.2020 11:02","6674121179","a4348dd730c6d84ab3a2950558962ede","набор: готовый завтрак несквик к/у 275гр 1 + 1 в подарок",,,149.9,1.0,149.9,
"0008475f33aced4e23f8ec3e90c3b019","09.01.2020 11:02","6674121179","a4348dd730c6d84ab3a2950558962ede","пакет полиэтиленовый большой 1шт 35/70 pl",,,7.9,1.0,7.9,
"0008475f33aced4e23f8ec3e90c3b019","09.01.2020 11:02","6674121179","a4348dd730c6d84ab3a2950558962ede","прокладки ежедневные дискрит део водная лилия 20 шт","discreet",,69.18,1.0,69.18,7.92
"0008475f33aced4e23f8ec3e90c3b019","09.01.2020 11:02","6674121179","a4348dd730c6d84ab3a2950558962ede","сметана простоквашино 15% стакан 315г данон бзмж","простоквашино","сметана; молоко/сыр/яйца; продукты",49.9,1.0,49.9,
"0008475f33aced4e23f8ec3e90c3b019","09.01.2020 11:02","6674121179","a4348dd730c6d84ab3a2950558962ede","сыр российский 50% вес. стародубский бзмж",,,419.0,0.302,126.54,
"0009665b8fef1c98a2a9edbcc75626bc","14.01.2020 19:35","7825706086","05c4655e2b3fe016cf37ec5b8013d283","2086142 lenor кондиц.скан.весна конц.1л","lenor","кондиционер для белья; хозяйственные товары; уход за бельем",199.99,1.0,199.99,20.0
"000a0b83ce95129809b23b0cf572c5ec","24.11.2019 11:46","5047085094","2b18f34c444e0c023aa7763ea5f2b0a0","silcamed з/паста+з/щетка детск.асс рд",,"зубная щетка; уход за ребенком; уход за полостью рта",77.0,1.0,77.0,
"000a0b83ce95129809b23b0cf572c5ec","24.11.2019 11:46","5047085094","2b18f34c444e0c023aa7763ea5f2b0a0","з/щетка колгейт зиг-заг средн. 2+1шт.","colgate","уход за полостью рта; красота и здоровье; зубная щетка",99.0,1.0,99.0,
"000a0b83ce95129809b23b0cf572c5ec","24.11.2019 11:46","5047085094","2b18f34c444e0c023aa7763ea5f2b0a0","моя большая раскраска лев",,,55.0,1.0,55.0,
"000a0b83ce95129809b23b0cf572c5ec","24.11.2019 11:46","5047085094","2b18f34c444e0c023aa7763ea5f2b0a0","набор контейнеров покус, 4 шт уника",,,99.0,1.0,99.0,
"000a0b83ce95129809b23b0cf572c5ec","24.11.2019 11:46","5047085094","2b18f34c444e0c023aa7763ea5f2b0a0","перекись водорода 100 мл",,,12.5,1.0,12.5,
"000a0b83ce95129809b23b0cf572c5ec","24.11.2019 11:46","5047085094","2b18f34c444e0c023aa7763ea5f2b0a0","прокладки always ultra sensitive 10шт","always","красота и здоровье; личная гигиена; прокладки",77.0,1.0,77.0,7.7
"000a0b83ce95129809b23b0cf572c5ec","24.11.2019 11:46","5047085094","2b18f34c444e0c023aa7763ea5f2b0a0","термостельки, 1 пара_имп",,,55.0,1.0,55.0,
"000ab55f200b7f14b56e9e90cc84c0c3","15.01.2020 14:53","5047085094","e5533f8c51483e1636d6bc51a2ea1704","whiskas, 350г, подуш гов/крол фуд",,"корм; товары для животных; корм для кошек",77.0,1.0,77.0,
"000ab55f200b7f14b56e9e90cc84c0c3","15.01.2020 14:53","5047085094","e5533f8c51483e1636d6bc51a2ea1704","гель д/бритья gillette 200мл","gillette","средство для бритья; гель для бритья; красота и здоровье; личная гигиена",199.0,1.0,199.0,19.9
"000ab55f200b7f14b56e9e90cc84c0c3","15.01.2020 14:53","5047085094","e5533f8c51483e1636d6bc51a2ea1704","декоративная клейк.лента 3шт*100см имп",,,55.0,1.0,55.0,
"000d3cb70920354d5908f913d24798c0","16.01.2020 16:07","2310031475","270bb0797a611889c2fdb3702769678b","head&shoulders шам2в1ментол осв/энер океан400мл(","head&shoulders","красота и здоровье; гигиена волос; шампунь для волос; красота и здоровье; гигиена волос; шампунь для волос",199.0,1.0,199.0,19.9
